Front;Back;Tags
Por que F-100 precoce pode ser perigoso na desnutrição grave?;Porque pode precipitar síndrome de realimentação por pico de insulina e queda de eletrólitos, especialmente fósforo.;DEP,realimentação,OSCE
Por que ausência de febre não exclui infecção na desnutrição grave?;Porque a imunossupressão pode reduzir a resposta febril, tornando a infecção clinicamente silenciosa.;DEP,infecção,segurança
Qual é a frase-mãe do manejo da desnutrição grave?;Primeiro estabiliza, depois reabilita.;DEP,manejo,OSCE
Por que medir glicemia é crítico na criança desnutrida apática?;Porque pode haver hipoglicemia por baixa reserva de glicogênio e falência energética.;DEP,hipoglicemia
Por que apatia não deve ser interpretada como tranquilidade?;Porque pode indicar hipoglicemia, hipotermia, sepse ou baixa reserva energética.;DEP,semiologia
Por que ferro deve ser evitado na fase aguda?;Porque pode piorar infecção oculta e estresse oxidativo; deve ser usado na fase de recuperação conforme protocolo.;DEP,ferro
Qual é o risco da hidratação venosa agressiva?;Sobrecarga cardíaca, edema pulmonar e insuficiência cardíaca em criança com baixa reserva.;DEP,hidratação
O que deve ser monitorado na realimentação?;Fósforo, potássio e magnésio, além de sinais cardíacos e respiratórios.;DEP,eletrólitos
Qual erro territorial favorece diagnóstico tardio?;Não pesar a criança e não acompanhar a curva de crescimento.;DEP,APS,SISVAN
Qual falha pós-alta aumenta recaída?;Alta sem comunicação com ESF, sem plano alimentar realista e sem segurança alimentar.;DEP,pós-alta
Por que edema no kwashiorkor não deve ser tratado com diurético de rotina?;Porque é edema nutricional/metabólico e diurético pode piorar perfusão e eletrólitos.;DEP,kwashiorkor
Qual é a função do SISVAN no cuidado?;Monitorar estado nutricional e marcadores de consumo alimentar na APS.;DEP,SISVAN,APS
